Time,RxPower
1.00801,-54.6988
1.0083,-54.6988
1.00845,-54.6988
1.00876,-54.6988
1.00887,-54.7127
1.00971,-54.7014
1.01085,-54.7127
1.01648,-54.7014
1.02052,-54.7127
1.02612,-54.7014
1.03007,-54.7014
1.034,-54.7014
1.03795,-54.7014
1.04189,-54.7014
1.04593,-54.7014
1.04996,-54.7014
1.05389,-54.7014
1.05782,-54.7014
1.06181,-54.7127
1.06582,-54.7127
1.0699,-54.7127
1.07391,-54.7127
1.07793,-54.7127
1.08199,-54.7127
1.08611,-54.7127
1.0902,-54.7127
1.09434,-54.7127
1.09841,-54.7127
1.10244,-54.7127
1.1069,-54.7127
1.11103,-54.7127
1.11512,-54.7127
1.11921,-54.7127
1.12328,-54.7127
1.12739,-54.7127
1.13151,-54.7127
1.13565,-54.7127
1.13857,-54.7127
1.14052,-54.7127
1.14184,-54.7127
1.14281,-54.7127
1.14361,-54.7127
1.14419,-54.7127
1.14474,-54.7127
1.14529,-54.7127
1.14591,-54.7127
1.14641,-54.7127
1.14691,-54.7127
1.14742,-54.7127
1.14785,-54.7127
1.14832,-54.7127
1.14885,-54.7127
1.14941,-54.7127
1.14991,-54.7127
1.15042,-54.7127
1.15087,-54.7127
1.1514,-54.7127
1.15203,-54.7127
1.15255,-54.7127
1.15315,-54.7127
1.1537,-54.7127
1.15425,-54.7127
1.15479,-54.7127
1.15534,-54.7127
1.1559,-54.7127
1.15638,-54.7127
1.15688,-54.7127
1.15733,-54.7127
1.15785,-54.7127
1.15842,-54.7127
1.15898,-54.7127
1.15944,-54.7127
1.15992,-54.7127
1.1605,-54.7127
1.16106,-54.7127
1.16155,-54.7127
1.16207,-54.7127
1.16257,-54.7127
1.16311,-54.7127
1.16357,-54.7127
1.16406,-54.7127
1.16461,-54.7127
1.16517,-54.7127
1.16566,-54.7127
1.16628,-54.7127
1.16678,-54.7127
1.16723,-54.7127
1.16769,-54.7127
1.16809,-54.7127
1.16857,-54.7127
1.16899,-54.7127
1.16943,-54.7127
1.16989,-54.7127
1.17038,-54.7127
1.17093,-54.7127
1.17146,-54.7127
1.17205,-54.7127
1.17264,-54.7127
1.17317,-54.7127
1.17368,-54.7127
1.17425,-54.7127
1.17486,-54.7127
1.17537,-54.7127
1.17577,-54.7127
1.1763,-54.7127
1.17687,-54.7127
1.17739,-54.7127
1.17791,-54.7127
1.17841,-54.7127
1.17889,-54.7127
1.17941,-54.7127
1.17996,-54.7127
1.18047,-54.7127
1.18089,-54.7127
1.18141,-54.7127
1.18193,-54.7127
1.1825,-54.7127
1.18303,-54.7127
1.18353,-54.7127
1.18408,-54.7127
1.18449,-54.7127
1.18492,-54.7127
1.18538,-54.7127
1.18591,-54.7127
1.18647,-54.7127
1.1871,-54.7127
1.18763,-54.7127
1.18824,-54.7127
1.18877,-54.7127
1.18918,-54.7127
1.18968,-54.7127
1.19018,-54.7127
1.19071,-54.7127
1.19115,-54.7127
1.19154,-54.7127
1.19201,-54.7127
1.19247,-54.7127
1.193,-54.7127
1.19363,-54.7127
1.19423,-54.7127
1.19485,-54.7127
1.19545,-54.7127
1.19594,-54.7127
1.19634,-54.7127
1.19687,-54.7127
1.19736,-54.7127
1.19785,-54.7127
1.19836,-54.7127
1.19877,-54.7127
1.19922,-54.7127
1.19963,-54.7127
1.20009,-54.7127
1.20056,-54.7127
1.20102,-54.7127
1.20153,-54.7127
1.20205,-54.7127
1.20253,-54.7127
1.20311,-54.7127
1.20364,-54.7127
1.20408,-54.7127
1.20458,-54.7127
1.20512,-54.7127
1.20563,-54.7127
1.20625,-54.7127
1.20679,-54.7127
1.20719,-54.7127
1.20772,-54.7127
1.20829,-54.7127
1.2089,-54.7127
1.20953,-54.7127
1.21014,-54.7127
1.21074,-54.7127
1.21134,-54.7127
1.2119,-54.7127
1.21252,-54.7127
1.21313,-54.7127
1.21368,-54.7127
1.21429,-54.7127
1.21486,-54.7127
1.21544,-54.7127
1.21596,-54.7127
1.21653,-54.7127
1.217,-54.7127
1.21759,-54.7127
1.2182,-54.7127
1.21875,-54.7127
1.21932,-54.7127
1.21978,-54.7127
1.22022,-54.7127
1.2207,-54.7127
1.22131,-54.7127
1.2219,-54.7127
1.22251,-54.7127
1.22313,-54.7127
1.22364,-54.7127
1.22415,-54.7127
1.22455,-54.7127
1.22506,-54.7127
1.22551,-54.7127
1.22595,-54.7127
1.22635,-54.7127
1.22688,-54.7127
1.22749,-54.7127
1.22806,-54.7127
1.22858,-54.7127
1.22909,-54.7127
1.22958,-54.7127
1.22998,-54.7127
1.23047,-54.7127
1.23099,-54.7127
1.23152,-54.7127
1.23207,-54.7127
1.2326,-54.7127
1.23301,-54.7127
1.23347,-54.7127
1.23387,-54.7127
1.2344,-54.7127
1.23499,-54.7127
1.23551,-54.7127
1.23601,-54.7127
1.23653,-54.7127
1.23702,-54.7127
1.23749,-54.7127
1.23803,-54.7127
1.23847,-54.7127
1.23897,-54.7127
1.23955,-54.7127
1.24014,-54.7127
1.24072,-54.7127
1.24122,-54.7127
1.24174,-54.7127
1.24214,-54.7127
1.24259,-54.7127
1.2431,-54.7127
1.2437,-54.7127
1.24433,-54.7127
1.24488,-54.7127
1.24538,-54.7127
1.24589,-54.7127
1.2464,-54.7127
1.24686,-54.7127
1.2473,-54.7127
1.2477,-54.7127
1.24816,-54.7127
1.24865,-54.7127
1.24913,-54.7127
1.24954,-54.7127
1.25007,-54.7127
1.2507,-54.7127
1.25132,-54.7127
1.25194,-54.7127
1.25261,-54.7127
1.25313,-54.7127
1.25365,-54.7127
1.25414,-54.7127
1.25455,-54.7127
1.25505,-54.7127
1.25563,-54.7127
1.25619,-54.7127
1.2567,-54.7127
1.25719,-54.7127
1.25767,-54.7127
1.2582,-54.7127
1.25878,-54.7127
1.25929,-54.7127
1.25974,-54.7127
1.26025,-54.7127
1.26082,-54.7127
1.26135,-54.7127
1.26189,-54.7127
1.26239,-54.7127
1.26289,-54.7127
1.26339,-54.7127
1.2638,-54.7127
1.26433,-54.7127
1.26487,-54.7127
1.26531,-54.7127
1.26583,-54.7127
1.26637,-54.7127
1.26689,-54.7127
1.26743,-54.7127
1.26804,-54.7127
1.2686,-54.7127
1.26913,-54.7127
1.26966,-54.7127
1.27027,-54.7127
1.27081,-54.7127
1.27122,-54.7127
1.2717,-54.7127
1.27221,-54.7127
1.27275,-54.7127
1.2733,-54.7127
1.27382,-54.7127
1.27434,-54.7127
1.27479,-54.7127
1.27519,-54.7127
1.27566,-54.7127
1.27609,-54.7127
1.27653,-54.7127
1.27699,-54.7127
1.27746,-54.7127
1.27807,-54.7127
1.27865,-54.7127
1.27919,-54.7127
1.27963,-54.7127
1.28013,-54.7127
1.28062,-54.7127
1.28105,-54.7127
1.28152,-54.7127
1.282,-54.7127
1.28243,-54.7127
1.28286,-54.7127
1.28337,-54.7127
1.28397,-54.7127
1.2845,-54.7127
1.2849,-54.7127
1.28533,-54.7127
1.28583,-54.7127
1.2863,-54.7127
1.28687,-54.7127
1.28732,-54.7127
1.28782,-54.7127
1.28839,-54.7127
1.28897,-54.7127
1.28947,-54.7127
1.28993,-54.7127
1.29036,-54.7127
1.29083,-54.7127
1.29136,-54.7127
1.29198,-54.7127
1.29253,-54.7127
1.29311,-54.7127
1.29368,-54.7127
1.29426,-54.7127
1.29471,-54.7127
1.29523,-54.7127
1.29569,-54.7127
1.29614,-54.7127
1.29656,-54.7127
1.29704,-54.7127
1.29752,-54.7127
1.29811,-54.7127
1.29868,-54.7127
1.29921,-54.7127
1.29981,-54.7127
1.30037,-54.7127
1.30087,-54.7127
1.30128,-54.7127
1.30177,-54.7127
1.30222,-54.7127
1.30263,-54.7127
1.30315,-54.7127
1.30365,-54.7127
1.30406,-54.7127
1.30452,-54.7127
1.30498,-54.7127
1.30542,-54.7127
1.30591,-54.7127
1.30639,-54.7127
1.30694,-54.7127
1.30745,-54.7127
1.30806,-54.7127
1.30857,-54.7127
1.30897,-54.7127
1.30937,-54.7127
1.30981,-54.7127
1.31031,-54.7127
1.31079,-54.7127
1.31141,-54.7127
1.31192,-54.7127
1.3124,-54.7127
1.31293,-54.7127
1.31345,-54.7127
1.31395,-54.7127
1.31448,-54.7127
1.31511,-54.7127
1.31562,-54.7127
1.31606,-54.7127
1.3165,-54.7127
1.31694,-54.7127
1.3174,-54.7127
1.31787,-54.7127
1.31843,-54.7127
1.31887,-54.7127
1.31938,-54.7127
1.31995,-54.7127
1.3205,-54.7127
1.32096,-54.7127
1.3214,-54.7127
1.3218,-54.7127
1.32234,-54.7127
1.32296,-54.7127
1.32359,-54.7127
1.32418,-54.7127
1.32478,-54.7127
1.32531,-54.7127
1.32589,-54.7127
1.32644,-54.7127
1.32704,-54.7127
1.32755,-54.7127
1.32802,-54.7127
1.32846,-54.7127
1.32887,-54.7127
1.32932,-54.7127
1.3298,-54.7127
1.33022,-54.7127
1.33069,-54.7127
1.3311,-54.7127
1.33159,-54.7127
1.33221,-54.7127
1.33279,-54.7127
1.33335,-54.7127
1.33377,-54.7127
1.33429,-54.7127
1.33491,-54.7127
1.33546,-54.7127
1.33608,-54.7127
1.33667,-54.7127
1.33723,-54.7127
1.33785,-54.7127
1.33841,-54.7127
1.33899,-54.7127
1.33956,-54.7127
1.34006,-54.7127
1.34047,-54.7127
1.34095,-54.7127
1.34137,-54.7127
1.34183,-54.7127
1.34227,-54.7127
1.34267,-54.7127
1.34317,-54.7127
1.34364,-54.7127
1.34408,-54.7127
1.34452,-54.7127
1.34503,-54.7127
1.34559,-54.7127
1.34608,-54.7127
1.34667,-54.7127
1.34718,-54.7127
1.34762,-54.7127
1.34814,-54.7127
1.34864,-54.7127
1.34905,-54.7127
1.34948,-54.7127
1.34997,-54.7127
1.35049,-54.7127
1.35099,-54.7127
1.35145,-54.7127
1.35186,-54.7127
1.35233,-54.7127
1.35277,-54.7127
1.35317,-54.7127
1.3536,-54.7127
1.3541,-54.7127
1.3545,-54.7127
1.35494,-54.7127
1.35534,-54.7127
1.35586,-54.7127
1.35629,-54.7127
1.35682,-54.7127
1.35738,-54.7127
1.3578,-54.7127
1.35829,-54.7127
1.35884,-54.7127
1.35937,-54.7127
1.35999,-54.7127
1.36059,-54.7127
1.36109,-54.7127
1.36159,-54.7127
1.36207,-54.7127
1.36248,-54.7127
1.36294,-54.7127
1.3634,-54.7127
1.3639,-54.7127
1.36444,-54.7127
1.36485,-54.7127
1.36535,-54.7127
1.36588,-54.7127
1.3665,-54.7127
1.36704,-54.7127
1.36759,-54.7127
1.36814,-54.7127
1.36863,-54.7127
1.36917,-54.7127
1.36966,-54.7127
1.37026,-54.7127
1.37085,-54.7127
1.37145,-54.7127
1.37195,-54.7127
1.37242,-54.7127
1.37282,-54.7127
1.37331,-54.7127
1.37373,-54.7127
1.37425,-54.7127
1.37485,-54.7127
1.37545,-54.7127
1.37608,-54.7127
1.37668,-54.7127
1.37718,-54.7127
1.37778,-54.7127
1.37838,-54.7127
1.37893,-54.7127
1.37947,-54.7127
1.38,-54.7127
1.38056,-54.7127
1.38118,-54.7127
1.38175,-54.7127
1.38229,-54.7127
1.38269,-54.7127
1.38322,-54.7127
1.38375,-54.7127
1.38418,-54.7127
1.3847,-54.7127
1.38525,-54.7127
1.3857,-54.7127
1.38613,-54.7127
1.38663,-54.7127
1.38724,-54.7127
1.38784,-54.7127
1.38842,-54.7127
1.389,-54.7127
1.38958,-54.7127
1.39014,-54.7127
1.39054,-54.7127
1.39103,-54.7127
1.39161,-54.7127
1.39207,-54.7127
1.39267,-54.7127
1.39328,-54.7127
1.3939,-54.7127
1.3945,-54.7127
1.39503,-54.7127
1.39564,-54.7127
1.39618,-54.7127
1.39662,-54.7127
1.39708,-54.7127
1.39766,-54.7127
1.39819,-54.7127
1.39875,-54.7127
1.39926,-54.7127
1.39977,-54.7127
1.40033,-54.7127
1.40092,-54.7127
1.40148,-54.7127
1.40194,-54.7127
1.40241,-54.7127
1.40297,-54.7127
1.40346,-54.7127
1.40398,-54.7127
1.4045,-54.7127
1.40502,-54.7127
1.40551,-54.7127
1.40608,-54.7127
1.40669,-54.7127
1.4073,-54.7127
1.40786,-54.7127
1.4084,-54.7127
1.40884,-54.7127
1.40929,-54.7127
1.40969,-54.7127
1.41011,-54.7127
1.41053,-54.7127
1.41107,-54.7127
1.4115,-54.7127
1.41192,-54.7127
1.41235,-54.7127
1.41276,-54.7127
1.41324,-54.7127
1.41364,-54.7127
1.41416,-54.7127
1.41462,-54.7127
1.41513,-54.7127
1.41573,-54.7127
1.41634,-54.7127
1.41685,-54.7127
1.41735,-54.7127
1.41781,-54.7127
1.41823,-54.7127
1.41863,-54.7127
1.41908,-54.7127
1.41957,-54.7127
1.41997,-54.7127
1.42049,-54.7127
1.42096,-54.7127
1.42146,-54.7127
1.42196,-54.7127
1.42237,-54.7127
1.42277,-54.7127
1.42322,-54.7127
1.42367,-54.7127
1.42412,-54.7127
1.42459,-54.7127
1.42499,-54.7127
1.42544,-54.7127
1.42589,-54.7127
1.42635,-54.7127
1.42681,-54.7127
1.42732,-54.7127
1.42783,-54.7127
1.42826,-54.7127
1.42878,-54.7127
1.4293,-54.7127
1.42986,-54.7127
1.43037,-54.7127
1.43078,-54.7127
1.4313,-54.7127
1.43186,-54.7127
1.43228,-54.7127
1.43282,-54.7127
1.4334,-54.7127
1.43394,-54.7127
1.4344,-54.7127
1.43503,-54.7127
1.43562,-54.7127
1.43617,-54.7127
1.43678,-54.7127
1.43734,-54.7127
1.43785,-54.7127
1.43841,-54.7127
1.43892,-54.7127
1.4394,-54.7127
1.43987,-54.7127
1.44038,-54.7127
1.44092,-54.7127
1.44147,-54.7127
1.44199,-54.7127
1.44255,-54.7127
1.44307,-54.7127
1.44357,-54.7127
1.44415,-54.7127
1.44469,-54.7127
1.44522,-54.7127
1.4458,-54.7127
1.44634,-54.7127
1.44683,-54.7127
1.44742,-54.7127
1.44795,-54.7127
1.44838,-54.7127
1.44879,-54.7127
1.4493,-54.7127
1.44989,-54.7127
1.45038,-54.7127
1.45091,-54.7127
1.45137,-54.7127
1.45188,-54.7127
1.45228,-54.7127
1.45273,-54.7127
1.45325,-54.7127
1.45371,-54.7127
1.45421,-54.7127
1.45474,-54.7127
1.45519,-54.7127
1.45564,-54.7127
1.45622,-54.7127
1.45669,-54.7127
1.45724,-54.7127
1.45765,-54.7127
1.45805,-54.7127
1.45853,-54.7127
1.45898,-54.7127
1.4595,-54.7127
1.46013,-54.7127
1.46068,-54.7127
1.46131,-54.7127
1.4618,-54.7127
1.4622,-54.7127
1.46269,-54.7127
1.46312,-54.7127
1.46357,-54.7127
1.46399,-54.7127
1.46452,-54.7127
1.46511,-54.7127
1.46561,-54.7127
1.46614,-54.7127
1.46675,-54.7127
1.46733,-54.7127
1.46794,-54.7127
1.46851,-54.7127
1.46907,-54.7127
1.46956,-54.7127
1.47006,-54.7127
1.4705,-54.7127
1.47097,-54.7127
1.47142,-54.7127
1.47201,-54.7127
1.47246,-54.7127
1.47297,-54.7127
1.47339,-54.7127
1.47387,-54.7127
1.47438,-54.7127
1.47498,-54.7127
1.47556,-54.7127
1.4761,-54.7127
1.47652,-54.7127
1.47698,-54.7127
1.4775,-54.7127
1.47811,-54.7127
1.4786,-54.7127
1.4791,-54.7127
1.47965,-54.7127
1.48009,-54.7127
1.4806,-54.7127
1.48114,-54.7127
1.48158,-54.7127
1.48209,-54.7127
1.4826,-54.7127
1.48308,-54.7127
1.48367,-54.7127
1.48428,-54.7127
1.4848,-54.7127
1.48523,-54.7127
1.48563,-54.7127
1.48603,-54.7127
1.48651,-54.7127
1.48702,-54.7127
1.48746,-54.7127
1.48797,-54.7127
1.48858,-54.7127
1.48913,-54.7127
1.48962,-54.7127
1.49012,-54.7127
1.49061,-54.7127
1.49123,-54.7127
1.49182,-54.7127
1.49244,-54.7127
1.49294,-54.7127
1.49336,-54.7127
1.49387,-54.7127
1.49445,-54.7127
1.49504,-54.7127
1.49566,-54.7127
1.49628,-54.7127
1.4969,-54.7127
1.4975,-54.7127
1.49803,-54.7127
1.49859,-54.7127
1.49912,-54.7127
1.49959,-54.7127
1.50018,-54.7127
1.50075,-54.7127
1.50125,-54.7127
1.50183,-54.7127
1.50234,-54.7127
1.50282,-54.7127
1.50333,-54.7127
1.50392,-54.7127
1.50448,-54.7127
1.50504,-54.7127
1.50556,-54.7127
1.50615,-54.7127
1.50667,-54.7127
1.50718,-54.7127
1.50769,-54.7127
1.5081,-54.7127
1.50855,-54.7127
1.50904,-54.7127
1.50962,-54.7127
1.51003,-54.7127
1.51051,-54.7127
1.51112,-54.7127
1.51161,-54.7127
1.5121,-54.7127
1.51257,-54.7127
1.51296,-54.7127
1.51342,-54.7127
1.51395,-54.7127
1.51446,-54.7127
1.51489,-54.7127
1.51531,-54.7127
1.51584,-54.7127
1.51634,-54.7127
1.51687,-54.7127
1.5174,-54.7127
1.51791,-54.7127
1.51848,-54.7127
1.51902,-54.7127
1.51955,-54.7127
1.52004,-54.7127
1.52056,-54.7127
1.52108,-54.7127
1.52157,-54.7127
1.52219,-54.7127
